key,mac
52594,9A62B8659306
59034,9AD51DB53F7B
49352,9A2144E2F474
68521,9A889576B1D3
90579,9A9DDE770B40
44605,9A38DFF2A053
38387,9A4B20854F02
48516,9A919C61C4BC
35015,9AAB305CFE08
61570,9A7ACCB928C6
97055,9A404043785D
13445,9A1F47B35D98
83070,9A97BBAAFD76
89762,9A267DB4D211
91443,9A2CD030BBF5
81260,9AE72AA87C46
38869,9A35EA00B828
74972,9AB1C9D52F22
9631,9AD16D09554A
92930,9A077887668F
72344,9A2245E8444D
12921,9A8E88BB71EF
42435,9A9B6F395CB1
14510,9A6E452C2F0F
61120,9A1852BF951C
53027,9A4D16A651D6
30867,9ACB9223A1A0
80689,9A3D4FFB21B4
9298,9AA9EAF83E12
50964,9AE6C2979E80
53595,9A57D30B27C1
11214,9AB5EBB964EE
93163,9AD35CA0299F
51129,9AE572287027
42302,9A7817AD09F2
59241,9A37F30D059C
68345,9A68303C6400
13997,9ABB61093E2D
22079,9A6628028657
2953,9A0976F7B7EB
60120,9A8037D9857D
29410,9A0B088C10E7
93437,9A45E09B9BF4
60494,9A25C72915C4
80038,9AAE8B681FD0
12635,9A8FE3C6C165
7584,9AE1930CE228
45175,9A6C018BCA87
55092,9A732241C13A
68483,9ACF93EAF3EC
30112,9A852B8F0579
79791,9AC74CCF996C
22849,9A526CB202F7
79012,9A892D7C82FE
67771,9A6B47AFF116
61047,9AEDD71C5FD8
85992,9A929C654C7F
90443,9A7070742DAF
57175,9AFA43522127
64555,9A635A64B630
44389,9A5C5A68F9BA
59147,9A93D6C0D03A
45541,9A8F9B887F11
63518,9A5C493594A7
75401,9A6020875128
29398,9A72BB77CC82
2466,9A6FA9363B5D
52111,9ACC089002B6
54159,9AA7706CCA96
83580,9A940B92C442
73189,9AF2FDB9A426
17250,9A9F763DFE7A
70064,9A85886E61F9
76481,9A0F889B02EB
34134,9A98B8EB6B5B
90019,9ADE5D46B79F
16870,9A56A92BC882
17802,9A76D7511E67
71004,9AAB2536C4EA
7968,9A3DDCF36B6E
47969,9A9270CC2200
18730,9A74CE5BA6C6
75859,9AFB51D32154
43231,9ACB82B8A561
71311,9AA013A0905C
57501,9A7FE4A2DB2C
59972,9AA9614907BA
14404,9A22171536EA
75016,9A7D22ADD38D
66139,9A30FEED5E73
60365,9A4CC24683C4
22705,9A1B63A8F1AD
8407,9AD10D62CCF8
3720,9A93E5A257CC
88471,9AB9210B7C99
69929,9ABB751CE8AD
23696,9AEEAA0AB202
20766,9A18D8A940E1
93650,9A01E8DDD69E
38167,9AA77164AD5C
35597,9ADDDFE4CE0E
1398,9AD787962B01
90687,9AA64FE80BDF
44675,9A03A01182E9
84917,9A19C62B9753
59112,9A1839E1F0A5
26338,9AFB072C4E17
72468,9AC38DA54361
64222,9A9357A22EE5
36274,9A4098CE9EB6
12338,9AF6C3137EAA
97363,9A4891588E71
73216,9AAAC1038CB0
84419,9AF7F832E772
89020,9A4C646086BE
50323,9AB561734969
1182,9AFA214669D8
64496,9A4408DC57D7
15187,9ACEFD3D4272
435,9AE407909934
64751,9ADD540FEB77
5652,9AC3EACFD60A
63278,9A3895CC7751
82078,9A364551212F
48081,9A8A07E4DD53
84393,9A0CED4E94FE
36433,9A82656FBC4A
84505,9A611D1BE3B6
25577,9ADD3636BDA1
58034,9A9A1C60345F
76942,9A34AB7B18F5
56350,9A24DCE9B5CD
44424,9A403B4CE5DF
16856,9ACDEC73BBBE
77295,9A17224FEF7D
76477,9A7569654A20
79495,9A28FC82C4AF
15214,9A479E4A8894
16005,9A29E377821C
23296,9A7301700B1E
19492,9AD773D8A50B
17483,9A3EC68738B9
76829,9A306C23DB55
33328,9A1036EB35B2
97862,9AF521D46FCC
90305,9AF0199EBA4B
89900,9A96F78A3C10
82447,9A33E23B138A
10193,9AB209FEE5BB
56732,9AC5FEC4AEEC
81950,9A4E0C0A7812
79769,9AE3F2B05BCB
15447,9A2A0A41A52A
78414,9A1340D6ED9A
75772,9A7365FE48B4
84803,9ACAF5A2A4E2
30655,9AD1C8E974D1
83971,9ACCBED1F782
97739,9A2CBA4C524C
46067,9AAB4A156765
73563,9AC57A0B0496
14314,9A51C00E3C2C
17484,9A4AF5E0B075
84223,9ADAC96C5754
97989,9A831EAE677A
41869,9A34DD5C8B21
53206,9AED8615D380
11036,9A91D81FFA53
50606,9AA7F41BCBBC
46466,9A09B93FC5A2
42123,9ABF1D627E9F
62716,9A70A49D98B3
58548,9AF74B55594B
65995,9A18E031418B
57662,9AC8E8405C9C
15238,9A49D9658AD5
50342,9AFA1F4AC799
94120,9A3CFE2541AD
59811,9A5FEBC7B588
80272,9A09F1A673C2
12356,9A94CE320E57
65470,9AA2D1ABE870
11343,9AB675716A1C
39057,9AB8D4607645
42848,9A78F842DB20
13909,9AE62D8E1EC7
15782,9A95D5550BB5
14785,9A8846DAAAFB
13986,9A7FA2C87F60
97425,9A31D8853495
91975,9AC40CE54ECD
5019,9AB7E341E264
72780,9AA79AB3EEFC
34120,9A5BB424BB8B
94909,9A81D3773D15
15190,9A578937354B
32859,9A59F8407DB8
12165,9A8D47F8AA38
78249,9AE151B21A17
32562,9AC74BBECBF6
30686,9A5EFEE190B0
99646,9A0D27F5B788
69960,9AEEF1DB1EE3
14329,9A41BF787493
43939,9A80CFEDF9CC
40667,9ADD6F332BC7
34277,9AD3B839D414
55729,9AF26D291482
7089,9AA0851B4CF5
45576,9A91848178F6
7781,9AD49E5DA168
74275,9A69CF3EE148
7592,9A3EDE418392
65043,9A4DDA5DCE1A
97481,9A5688B357FE
90604,9A70273E452F
89611,9A651D313245
45347,9AB784415CD5
78601,9ABF3F29FEDA
71409,9A05C18AE60F
35886,9A8914A5A490
31892,9A38D936902E
25592,9A5D7BF69DCD
13557,9A3C8EA815A6
86143,9AFDD3FA44B2
53794,9A960CB70DBE
43624,9AB0BB2C2F96
71463,9A2EEA329F26
88179,9A98CB5A10CD
51831,9A0924C38AE2
49428,9AAA3D26481B
73914,9A4B033E313C
60383,9A95D352B4FC
72051,9AAFA1DF999D
68935,9AD5EE82CF6B
52970,9AD4066F0A93
83109,9A319A77A8AF
5485,9A1A30193CEC
45299,9ADF966DEA09
92978,9AA381115831
89554,9AE4E406943F
29058,9ADEE67CF8D5
55085,9ACED0A7B517
61169,9AE89A7D0076
9611,9A0EC3EBB5AF
37745,9AFC4482F356
39251,9AC9A2D3A6C6
63419,9AB39C01B6BC
62505,9A58566F2D04
89277,9A2096056845
76486,9A7D4D0BF570
18596,9A207F5AAC95
39289,9AFCC4430319
12367,9AE9FB81FA58
51689,9A340C268EC3
2915,9AE38AF392CB
69405,9A4C73E7C6AB
41799,9A19B6929F21
34278,9A3A8EA7CFED
48335,9AFDA14C0E35
7877,9AA633EEBA74
18856,9A4CB3EE58A0
81194,9ACD9872880B
10787,9AB152BA6264
13331,9AC3D3B54F14
98032,9A31E81F8A12
73478,9AF3AD9F854F
67432,9AB74ECF3A8A
57802,9A2B669D3E7B
54098,9A63B144C6A5
67594,9A7A01B27B19
45704,9A9B0F9493B9
27531,9ABD7161AEFE
94474,9A5025080F78
6727,9A42A185308F
87242,9ADD017841F7
32040,9A1415987C56
12353,9ABCC1275B9A
38605,9AC18E3DE42F
82991,9A08BD59889A
14370,9A536917C000
55387,9A5BC447482A
78897,9A518851C3EF
31936,9A04037E2FBE
39079,9A48ED51656B
75449,9A081C157D61
30778,9A4C045924CA
76087,9AF03E307F56
70900,9ACEF9A5DB16
82766,9A58F9F9D0D7
43929,9AD764202432
99378,9A65AE02193D
35042,9A1C847151B0
54465,9ADA378ECF26
88694,9AEA1E1CC320
19546,9A20A5D57538
41584,9A1FC8318639
24183,9AEF3B5B3F69
80280,9A7C6C1F1EE4
56810,9A96DF8F587B
65577,9A22661CDDAA
94244,9AA5B79BA384
42132,9A4CFFAE5620
52142,9AFCCFF3186D
33777,9A7109475C56
70991,9A249D6778B3
69317,9AD4F0577801
63563,9AB493A91946
5640,9AF5A22F3F22
8898,9A0F94DF58B7
16730,9A675C2BBF1C
11417,9A8EF13B0D54
30931,9AA96A3BD246
78210,9A78EB497CD4
51504,9AED223A60C3
5307,9A4BDEC8537F
10999,9AED78295234
79224,9A48833A08E1
31164,9AD016889BBE
21150,9AE55A490AB6
63135,9AE1F82BCD7A
62485,9A5AAC4DD827
34232,9AEB45F2274E
21526,9A25532E8485
41734,9ADF5786E96C
69794,9AC2A856CB86
20507,9A9BC67CB006
34298,9A6B4622B255
10950,9A2D25F35E3D
76728,9A7A67AE34A6
72870,9AC8A8AAF905
62563,9A9B5C6850FC
19769,9A870A7D9F3A
65435,9AA4A077EC94
7509,9A5033316B24
4895,9A91E2D46E2C
13033,9A270890D39A
27248,9A3CB2FABA90
80673,9A05CB71A3B9
52997,9A1AF810B53F
17606,9AE630BDC369
22460,9A2420A90BF2
33938,9AFA14FA366F
26625,9A92158812E0
71316,9ABA9B2D87F4
36952,9A1D9DC021C5
1169,9A8905B312CA
62934,9ADCD5213DA5
67984,9A7784E4E9EF
79877,9AD23CD919F2
82021,9ACAAECAAD1B
99542,9A4AF5C62DE7
32076,9A605CE49912
58446,9AD25D657131
86296,9A6F83F0E126
11011,9A8D009B7629
26332,9ACBB788C560
45730,9A2E32682ECA
38498,9A00320E1F0B
24441,9A42D31D7BBA
98893,9A008CEFE61B
43734,9AE9773AA1DD
68760,9A44ED7FDA3C
18109,9A1456542116
48236,9A8313286517
94304,9AAB323C490A
17858,9A82E95A3669
66406,9A76EE2FADAC
54198,9A37593F3216
17728,9A324984A677
13179,9AA46DBE4063
92719,9A9402B30BCC
953,9AACC7015CCF
81390,9A71C54FABB9
35403,9ADA7463D4B1
49087,9A9BE6C4178B
94839,9ACCD9CED74C
6899,9A67430454A8
35533,9A03CBA60213
67328,9AB6F32A1D4D
71507,9A8D91292B8E
78510,9AA72CC9D6BF
81270,9AF2D3978756
81313,9ACA72D644BC
95267,9AB339644824
655,9A09B190722D
82617,9A51D189D6B5
36420,9A3DD58A4BF2
41975,9AE192E19E97
4716,9AF343384535
2314,9A7F6669ED6B
89907,9AF1EACC8E07
72569,9A59A83A3715
80120,9A6843DBABF3
96204,9A6C7C6D4BA8
3877,9AD9E621544A
50470,9A3F49E5076F
38369,9A03E1874002
15841,9ACE0C94CF62
15489,9A992D3932DE
12436,9A841F35A6A0
91991,9A18EDFD90CC
90814,9AA9F858D111
97283,9A5BAD063B81
52782,9ACACCB52C7E
88547,9A39BD031643
35170,9AF4E8277139
45772,9A7B389304BC
49911,9A0CB48B4C18
79585,9A71A6DF5B0A
52250,9A8E0D94C434
26675,9A0365C0BD57
87725,9A449E2B0235
38996,9A9E5BFEC45D
96741,9AE7313ABFBA
2802,9AE3095063CF
45064,9AAB5D6AA50E
20513,9ABD6B83DA32
31300,9ABAC2F6906A
32197,9A73E863E1E3
7853,9AB1D2E060D6
31116,9A445FDA3E59
94216,9A8E5DA0D491
98269,9A47C4302DE2
18386,9A086E1C8B70
80449,9AFCF70CFFE6
20307,9A9C1ADAB252
8539,9A7D178D165B
93140,9A20AC81463C
41648,9A09343913C2
45290,9A56A861999D
33296,9A919C95B593
11359,9A9FD6DF719E
66150,9A38A7274B25
93496,9A47FF319653
90891,9AC61D86A693
76759,9A0EA47ED125
1570,9A3370416828
16340,9AD05DA9BC1B
40517,9A64E612F2FC
32123,9A949C01FC2E
62791,9A872876FD43
80663,9A5D6C978CC8
17670,9ABABA91F1B7
9823,9A3054BB9B87
53185,9A6063222382
70834,9ACDC905A13C
98393,9A2BA2820A0C
99258,9A285A8CCF68
27949,9A3F3000BD46
40648,9A1D755CCE04
70356,9AD09F59C05E
80530,9AE984B14B07
3272,9A115A90F800
67321,9ACA8A065BCC
32204,9AF2AF0B176E
89566,9A21E0DFE06D
71442,9AA6AC43032B
26447,9AE343804CCA
24815,9A9348124246
29695,9A02EBC46A56
33474,9A9870DB13D1
80522,9A81B28F91BB
58581,9AA17057FCFF
68896,9AED94E2ACCD
2955,9ACA2F1B8945
58203,9A700F366311
66388,9A45595D3D8F
96072,9A8CAE4EABC8
61798,9AC142DD919B
61778,9ACA163F8812
4708,9AA0B3F92D01
42701,9A82C98FCFD5
21903,9A023CC4096B
79588,9AC1FC15AB97
15089,9A7631655FA4
1540,9AD324F29942
92882,9A79F0812B11
80428,9A960373E29C
43453,9A0A4C93B626
78536,9A83E211C1FE
62500,9ADE29D107D1
73121,9AEB722C83FB
12912,9A377FAF7D81
53708,9AC9B1B7FD27
63879,9AA45BEDC667
22983,9A0B90AC2F51
20799,9AAAEEF934C7
85761,9A11EF9D2ABA
15341,9A6F2509A8A0
8002,9A901708D3FE
73268,9ACF53AD0F32
74065,9A67EC310F34
59176,9A5F528383C0
76223,9A3529648C3B
47227,9AC931FF0DCA
79463,9A21272C721D
13225,9A43CD436774
53481,9A8B28F584A3
68119,9A8297333887
39843,9A22132E5B23
96490,9A5E64F2BD56
93334,9A4427EAFCF3
68295,9A752F44FA2D
28774,9AD932F9B90E
64659,9ADE6DADDC84
66336,9A333EFA13E4
21210,9A06274C3B39
94143,9AA137AAE1AE
20527,9A5ADBE8FCC3
51783,9ABD825674B4
57014,9A32506B99F4
43818,9AD65FB51581
28467,9AB16F14C543
97915,9A0B89791A45
92924,9A07EE231CCE
20082,9A22F9C2C9E9
53109,9A2540E06614
78861,9A157D7245ED
5787,9A9B729493E1
62163,9A4D90979897
83245,9A54B469091E
92497,9A6B343F229D
61381,9AD3FD9FC966
65339,9A45BDB02777
61670,9A2CEC3EA90A
62650,9A7965EAFBC0
19815,9A82E9700A41
89115,9A88690223C1
74255,9AF0C8A0491A
69393,9ABBA354604C
49112,9AA98A9F4BB8
88012,9A383272E5F4
64757,9A3E5F6DE0EB
96639,9A1206A00B09
88725,9A9DA7FABFB6
74481,9AE8A80072D9
88460,9A6DD0FF7245
14106,9AF921E10982
92336,9A5799A346E8
76437,9A6549731E4E
35184,9A769BA26EB2
71994,9A3A22CFE18B
762,9A6ED1CC0D5B
25790,9AC3B3F25E9B
30508,9A8457767C42
45859,9AFA49BFED34
94960,9A20B12BEBEC
69777,9A4F0F889B9A
30168,9A537307CBA9
42640,9A595D7D6FFA
66140,9AF41F889DAD
91005,9A2107122207
62722,9A3AED9DE381
12704,9A7ED5ED0A36
93196,9AB3AB08A230
97056,9A8184B21FFC
520,9A026FC7212F
53089,9A78F424C2DE
84465,9A589434EF90
79406,9AAE0285EAB7
59057,9A60F0095106
84173,9A407B1714D0
87066,9A3593AB79B0
16360,9ACCF853A83E
15631,9A8406317F1B
41229,9AF61D75AB53
69750,9ABBD5B679A3
90917,9A09DE837847
10585,9AD166DAD129
28181,9A2D8239B18E
71629,9ABE31F2BD9F
79969,9A98B9D6FFAD
68399,9A751EE07775
55868,9A7FBF3554A2
88565,9A10D0E83C05
90215,9AF8344FEFEC
38543,9AA55130F9EA
67923,9A4DF33F2A0E
99365,9A27FB55857F
73869,9A20FF22CC98
91748,9AF570ABF2EF
28558,9AF0D583C77C
55081,9A6BA573CA45
11500,9AE2318EA4CE
48151,9AFD77B9A6B0
8817,9A5A5F086FEC
39929,9AF3B2DE7F77
42211,9A7E5E63FFE7
26347,9A1E8FFBAAB3
79189,9A413D953BAA
43417,9A52BF524667
5232,9A7C6859CFCC
57698,9A2C46BBB338
56465,9A2DEECD10B2
68213,9AD4FE481A03
24561,9A897FEE8B6D
61351,9ACDDB9ACF6E
46963,9AC8E1BFD16A
8134,9A0831710E79
10430,9A6396B7A9F7
67214,9A7FCB7933F8
9950,9AA305F3817D
2670,9AB93C097190
30871,9A1C93E9C2E4
92357,9A5065348AA1
56775,9AA20196EC8C
11721,9A6ED9A9D9A6
55517,9A88E9778CB6
1433,9A2934B67886
29476,9A3FDFE7B1FA
65479,9AABA366DB45
76171,9A48BA3C677D
21066,9AC746553D19
56923,9AA266A4B814
60557,9AB5DB41140F
66085,9A6E180F24DA
41392,9AECD438D44F
95572,9A6AD3F11F38
66649,9A416FDA74E1
73961,9AA746EB63C7
3524,9A018EF10D62
13475,9A699C24EBE8
71400,9A1D6008ABBF
57724,9AAB735F4576
98314,9AA8E251675B
2297,9AC7D599C115
11147,9A26FB731F3F
15602,9A8D66F6B636
47740,9A84365D163A
15028,9A655AE08D78
69421,9A8B63BD3AFC
36957,9A8A815370AC
77948,9AEBCF1DB076
55233,9ABCB8698C7D
47522,9AED824FBF1B
97248,9A26D55B165F
92879,9A9D75601869
10207,9A98A40FED3C
46417,9A0D97FBD5B7
16518,9A5780C503D0
50340,9AB1370879AA
9532,9AE43DDBA5CD
20038,9A2CD4267EB7
16393,9A17E4B84145
51344,9A602D2DE1C3
79727,9AF257FE577C
4989,9A67A6D3218A
94441,9A520BD3E2E1
73790,9ABCB2044F86
61657,9AB53A548C8D
61413,9A7A296C2D60
65852,9A3187C48B5D
41174,9AD5E371A550
26538,9A5199FA1C13
30787,9AA19ED2A12D
24758,9A398E561DB3
76036,9AB4957B810F
55349,9A1D7D29BD8F
46124,9AB123357E97
59471,9A047E4F0597
33664,9A34B06D819B
64127,9A0C35C1A746
82166,9AECBE9F1890
328,9A7604A5C6E9
65493,9A5C36621CD6
83287,9A4875E76231
50196,9A83B62CE326
10458,9AE915F16D43
93514,9A9E263067C9
89435,9AFBEE403228
47504,9A01A619D38C
99269,9A7EB5B34E75
80753,9A48FFDF2708
14733,9A2F8FB70925
88004,9A4CF1B7E4B5
40428,9A8F1DFC179B
73397,9A991C9C06EF
94469,9A635FB8D9E2
42666,9AFF1F6401C2
97716,9A28E756C5FA
35630,9AE56A427833
33040,9A3CAD4A6B1B
79575,9A8553696982
89311,9A2753C9C5D5
92516,9A0FC34BEA18
50114,9A6ACA6252E7
60916,9A191B00C90E
59070,9A1E78F4C0F0
65062,9AE2405BF0C2
15968,9A529244D14E
33318,9AA43785F32E
65437,9A3F21F8AB33
16123,9A260F5BEEB4
1893,9A84731DC054
55900,9A58DCC649D6
38782,9ABE4A88604C
10436,9ADEFDD55AD3
50569,9A3C6D757D37
36987,9AB0ECAE8B22
60711,9A6ACF4C0AD7
78262,9A2CCD4E85FB
36025,9A42EDBA129F
18846,9A327B25B8B5
2512,9A04B7F5360B
393,9ABAE57711CD
23499,9ABDF1EE8991
95826,9A45A507D9CE
81683,9A66E1475776
26782,9A215A395D0C
80777,9AC5467F3DAB
17871,9AE579190DE8
7772,9AC21D22D982
16706,9A14A8B3D566
84715,9AC61BE95E40
25025,9A3FCECB7367
22400,9A644F5A3970
68531,9AD48F0002EB
81297,9A8767273F4E
34966,9A4BEDF97B1E
82668,9AAC6B193092
83231,9AF0B254AEBB
7797,9A123F98DAA0
11749,9A5EF9A70C59
8984,9A712D2F6BFB
78374,9AAA049B1CA4
80683,9A3C4293AE67
72225,9A51151EBD8E
40350,9A5C3DC4C4A9
53834,9ADA065D1E58
95402,9A4985F9B81B
6549,9A87E3974E6A
90035,9A527F9E4319
16900,9AD0400E2892
23233,9A283983041E
40222,9A9338885595
6445,9ACE56D1E257
20031,9A707B1395C0
86680,9AD917233D86
36894,9ADDAC8362C9
7655,9A4FCE98F804
1192,9A354ABC4786
76431,9A69DA955B06
48508,9AA5AE200D00
84245,9A1DE4B4D29A
21922,9A07D01D6453
49576,9A882D71F640
69335,9ADB7E3A4512
19430,9AEEC90ACD48
83097,9AC157FE22DA
51458,9AE25B1CCD01
97445,9A83156FE3BC
54190,9AF0E5E07CFC
53909,9A741300E0E1
97296,9AA8A6AE73F6
97141,9ADBB3D7B6A7
46023,9A8C1CD885D1
41182,9A48717D3B83
87523,9A8C3210004D
18577,9A835B579AE6
35830,9A853B0E8825
34927,9A783FADEB7F
24289,9A94FAACC1F3
33269,9A59D5FF172B
68423,9A83BA43BB48
22082,9A578FAA0D68
20475,9A1E23579529
3662,9AFE0AD8C683
62047,9AFE6198E827
52744,9A9E81D88C54
52019,9A01490FD01C
35722,9AD503754F66
94970,9A18A81ED11E
62591,9AB66796BE6B
85143,9AF1F9DD14B4
1755,9A96FFAAAF1E
66611,9A5BD6614A73
58641,9AA45BE895DA
65189,9AA73855B7E5
30015,9A979FBB56F4
73628,9AC1740E3050
61607,9AF8F336EDD5
10848,9AB83CF2845C
7524,9A88D4C37A9B
30045,9AC5139295C7
87604,9A6D574EB361
92064,9ADF82D70C78
28953,9A0CAE28516E
30856,9A9568A99DC1
31029,9A3016F48C93
69108,9A629795EFE2
83410,9ADCF6439210
31967,9A9925A482A3
1053,9AB6FC5E8CDB
11663,9AC005D55228
55341,9A87B95D591C
57085,9AB71B3511CC
22905,9AB5FA3780D4
15530,9A34B08429D3
64146,9AB08919E686
9974,9A0BE5596623
74411,9AF4B42EB0A0
25614,9AE97835F281
99908,9AA657BBDC7B
93812,9A2B58214A77
25384,9AFE504E4BC7
17916,9ABF2FF74921
79452,9A048A9639A3
22037,9A24DF8A5891
34379,9A72C1FAAC28
73701,9A4C2B5C15AA
73249,9AB157D90B1A
20334,9AE1D98CB7B9
51278,9A3699A283BE
72708,9A5DEA2686C7
67800,9A4695604713
39018,9A97ED8023D8
80841,9AC06D67F9C7
10629,9AEB0998B87B
56816,9AC638B981BE
83764,9A792C18F709
56569,9A0D01A9F3C7
75933,9AE099E90CF7
42719,9A2B1374EE76
53990,9A1FAF920F7F
47720,9A00E7D7D330
55464,9AAF2B29A7DA
57311,9A105C59DFBD
66103,9A494E4466A8
24193,9ACA4802A902
24946,9ABA0BB7E0A8
70722,9AA075438411
61149,9AECEF9C62DB
65460,9A5D528FD62B
60261,9A9BB969FF4D
94660,9AB2BE024B8D
94817,9A18B81CBF4C
2115,9A88458B41F1
61731,9AE76AF8F43E
69849,9A4ABB62466E
26274,9AC13A95098A
48662,9A9E50A32606
56796,9AB958A05B7F
12051,9ABE7A61299B
48890,9A708AB39569
21690,9A8F8528E7CD
56331,9A46D51E9B6C
71590,9A4FE3957FB8
600,9AE69A7462C4
29504,9A7F5723BD10
62037,9A539D274163
98818,9A1BF8DAEA1A
43120,9A0077AC2DEF
41152,9A285D1E560A
53818,9AC85981717E
93484,9A7145853D00
94809,9AD115C4B9D6
14485,9ACE2EA10D66
95143,9A72FB17681D
19172,9A109F626F58
14923,9A983B4115E4
27807,9AC687A36950
22038,9A9AC447A221
65162,9A3DC8659C94
49489,9A18989120DB
45500,9AEABA25D773
44275,9A7D417EDDBC
69784,9AB016CF19EC
68826,9A3310F71947
80946,9A9850A941B1
52373,9A1D4D33BF90
16787,9A0DC7584C36
83448,9A7C98643465
64153,9A11DBB44ABE
64372,9A9DE159E15A
92343,9ADE4B5075CB
93966,9A4B165708D5
14786,9A3FDA4863C5
30840,9AE08136490A
37247,9A3F47CA8F05
14372,9A233FDFB65E
17371,9A83F05DFEA0
2766,9ABB40641FF5
43794,9AED4A713EA3
7236,9AFDA8B317D5
67744,9A955C9BF77E
29768,9A23AF253D60
67534,9A91D7E00410
6754,9A4EE1D4772B
46935,9A192639FA19
89777,9A0225F4F62B
6972,9A2AEF0BC6A9
96786,9AA099897C74
83665,9A752C946C2A
27254,9A4D8B190A74
17664,9ACB25110824
12042,9A8C0A977178
66529,9A0724CA8FE9
1889,9A384CFAEB99
3518,9A2CBCE90E88
44804,9ABB40AEA159
7346,9AF2FF63F4C2
77416,9ABB7B7AAB52
69616,9A84C53DFA60
68123,9AFA1A8FF199
